Sr. No,RERA ID,Developer Name,Project Name,Location,Town,Tie-up status,Create Date,Status
52,"P52100002094
",R. R.Lunkad,Akshay Heights,Wakad,Pune West,No,15/02/2019,Inactive
53,P52100000710,Legacy Lifespaces,Legacy Aura,gahunje,Pimpri Chinchwad,No,18/02/2019,Inactive
54,P52100016131/P52100016252/P52100016775/P52100016786/P52100018500/P52100018502,Shapoorji Pallonji,Shapoorji Joyville,Hinjawadi,Pune West,No,18/02/2019,Sold Out
55,P52100001915,Vijayraj Associate,Shradhha Residency,Pimpri,Pimpri Chinchwad,No,18/02/2019,Inactive
56,P52100018913,Pristine Developers,Pristine Pronext,Wakad,Pune West,No,18/02/2019,Sold Out
57,P52100008695,Sai Nisarg Developer,Sai Nisarg Sapphire,Chinchwad,Pimpri Chinchwad,No,18/02/2019,Inactive
58,P52100000794 ,Rohan Builders,Rohan Leher III,Baner,Pune West,No,19/02/2019,Sold Out
59,P52100003698,Gravity Landmarks,Gravity Austin Plaza,Wakad,Pune West,No,19/02/2019,Sold Out
60,P52100016997,Vinode Developers,Vinode Insignia,Tathawade,Pune West,No,19/02/2019,Sold Out
61,P52100016850,Five Star Construction Company,Five Star Royal Elegance,Rahatani,Pune West,No,19/02/2019,Sold Out
62,P52100000029,Paranjape Schemes,Paranjape Athashri Valley,Bavdhan,Pune West,No,11/2/2019,Sold Out
63,P52100015399,Polite Buildtech,Polite Bhalchandra Vihar,Ravet,Pune West,No,19/02/2019,Sold Out
64,P52100000303(OC Recieved),Paranjape Schemes,Paranjape Happiness Hub,Varve Khurd,Pune South,No,19/02/2019,Active
65,P52100000917,Kolte Patil Developers,Kolte Patil Western Avenue,Wakad,Pune West,No,19/02/2019,Sold Out
66,P5210000065,Kolte Patil Developers,Kolte Patil Umang Premiere,Wagholi,Pune East,No,20/02/2019,Sold Out
67,"P52100000764, P52100001117,P52100000769,P52100000805,P52100019348",SKYi Developers,SKYi Songbirds,Bavdhan,Pune West,No,20/02/2019,Active
68,P52100000060,Paranjape Schemes,Paranjape The Lofts,Hinjawadi,Pune West,No,29/04/2019,Sold Out
69,"P52100002620(OC Received) , P52100026055",Goel Ganga Developer,Goel Ganga Amber,Tathawade,Pune West,No,18/03/2019,Active
70,"P52100019500,P52100002021,P52100024155",Runal Developers,Runal Gateway,Ravet,Pune West,No,21/02/2019,Sold Out
71,P52100001171,"Bhandari Associates,Namrata Group,Sukhwani Lifespaces",Bhandari  32 Pinewood Drive ,Hinjawadi,Pune West,No,8/4/2019,Sold Out
72,P52100019467,Runal Developers,Runal Spacio,Ravet,Pune West,No,21/02/2019,Sold Out
73,"P52100021234, P52100018193",Krisala Developers,Krisala 41 Elite,Tathawade,Pune West,No,7/8/2019,Sold Out
74,P52100000082,Paranjape Schemes,Paranjape Crystal Towers,Pashan,Pune West,No,21/02/2019,Sold Out
75,P52100001787,Paranjape Schemes,Paranjape Athashri Synergy,Balewadi,Pune West,No,21/02/2019,Sold Out
76,"P52100000190, P52100027060",GK Associates,Silverland Residency (Phase I),Ravet,Pune West,No,22/02/2019,Inactive
77,P52100000173,GK Associates,Rose Mansion,Jambe,Pune West,No,22/02/2019,Inactive
78,"P52100015759, P52100004906",TCG Real Estate,TCG The Cliff Garden,Hinjawadi,Pune West,No,25/02/2019,Sold Out
79,"Phase 1- P52100001934, Phase-2 P52100003478 ,P52100013972,P52100020144",DNV Builders,DNV Arcelia ,Ravet,Pune West,No,25/02/2019,Sold Out
80,P52100017792,AM Gore & Associates,A M Gore DK Elegance,Ravet,Pune West,No,25/02/2019,Active
81,P52100006993,Manas Promotors & Developers,Manas Santosh Dreams,Ravet,Pune West,No,26/02/2019,Sold Out
82,P52100003691,"Namrata Construction, Omkar Group",Namrata Gloria,Ravet,Pune West,No,26/02/2019,Sold Out
83,P52100004229 (OC Received),Krushnai Buildcon,Krushnai Impirio,Ravet,Pune West,No,26/02/2019,Sold Out
84,P52100009227,Sai  Developer,Sai Nature Park,Ravet,Pune West,No,26/02/2019,Sold Out
85,P52100018281,GK Associates,Rose Aster,Tathawade(Punawale),Pune West,No,26/02/2019,Inactive
86,P52100001895,Mittal Brothers,Mittal High Mont (Phase I),Hinjawadi,Pune West,No,18/03/2019,Sold Out
87,P52100013889,Nexus Group,Nexus Meridian,Tathawade,Pune West,No,27/02/2019,Inactive
88,"P52100002272, P52100014395",Somani Developers,Dream Home,Tathawade,Pune West,No,29/03/2019,Inactive
89,P52100018471,Shree Krishna Associates,Shree Krishna Sentosa Pride,Punawale,Pune West,No,27/02/2019,Active
90,P52100016064,Gaikwad Developers,Gaikwad Miro,Tathawade(Punawale),Pune West,No,27/02/2019,Sold Out
91,"P52100001868, P52100001250,P52100001728",Garve Buildicon,Garve Golden Treasures,Tathawade(Punawale),Pune West,No,28/02/2019,Sold Out
92,P52100005682,Dolphin Buildcon,Dolphin Casa Grande,Ravet,Pune West,No,28/02/2019,Sold Out
93,P52100005558 (OC Received),Vision Creative Group, Vision Indramegh,Tathawade,Pune West,No,28/02/2019,Sold Out
94,P52100016663,"Pyramid Group , Anshul Group",Pyramid Atlante,Tathawade,Pune West,No,28/02/2019,Sold Out
95,P52100003611,GT Developers,Mangal Vishwa (Phase I),Ravet,Pune West,No,1/3/2019,Inactive
96,"P52100006898 (OC Received), P52100025591",Elysian Realty,Elysian Eden Spaces,Ravet ,Pune West,No,1/3/2019,Sold Out
97,"P52100000838,P52100022705",Goel Ganga Developer,Goel Ganga Fernhill (Phase II),Mohammed Wadi,Pune South,No,27/03/2019,Active
98,"P52100014226,P52100003574,P52100019322",Krisala Developers,Krisala 41 Estera,Punawale ,Pune West,No,27/03/2019,Active
99,"P52100006888, P52100013714, P52100001860, P52100016395,P52100026429",Kasturi,Kasturi Eon Homes,Hinjawadi,Pune West,No,19/03/2019,Active
100,"P52100002850, P52100014286, P52100014950, P52100006222 , P52100022552",Kunal Group,Kunal Iconia ,Mamurdi,Pimpri Chinchwad,No,5/3/2019,Sold Out
101,P52100019639,Godrej Properties,Godrej Park Greens,Mamurdi,Pimpri Chinchwad,No,5/3/2019,Active
102,P52100002384,"Swayambhu Estates,Lotus Landmarks",   Lotus Pinnacle,Mamurdi,Pimpri Chinchwad,No,6/3/2019,Sold Out
103,P52100014452,Sai Spaces,Sai Park Town,Mamurdi,Pimpri Chinchwad,No,5/3/2019,Sold Out
104,"P52100017164,P52100026083,P52100051379",Aryavedant Promoters & Builders,Aryavedant Palm Springs,Ravet,Pune West,No,6/3/2019,Active
105,P52100016461,Adi Group,Adi Aventura,Ravet,Pune West,No,6/2/2019,Sold Out
106,"P52100015425,P52100019054,P52100023592 (OC Received), P52100027051",Diamond Group & Nexus Group,Diamond Nirvana Beyond,Ravet,Pune West,No,7/3/2019,Sold Out
107,P52100014575,Vardhaman Spaces,Vardhaman Palm Rose,Punawale,Pune West,No,7/3/2019,Sold Out
108,"P52100015779, P52100018855, P52100018788,P52100015803",Peninsula Land ,Peninsula Address One,Punawale,Pune West,No,8/3/2019,Sold Out
109,P52100017116,Kolte Patil Developers,Kolte Patil Life Republic ORO Avenue,Nerhe,Pune West,No,11/3/2019,Sold Out
110,P52100000080,Jhamtani Group,Jhamtani Ace Augusta,Hinjawadi,Pune West,No,11/3/2019,Sold Out
111,P52100013716,Venkatesh Promoters & Builders,Venkatesh Sai Blessings,Ravet,Pune West,No,12/3/2019,Sold Out
112,"P52100018539,P52100031799,P52100050599",Kolte Patil Developers,Kolte Patil Life Republic Arezo,Tathawade,Pune West,No,12/3/2019,Active
113,"P52100015673,P52100033344",Sai Siddha Associates,Sai Kanak Residency,Dehu road,Pimpri Chinchwad,No,13/03/2019,Active
114,P52100017578,Jay Group,Jay Kasturi Homes,Ravet,Pune West,No,13/03/2019,Sold Out
115,"P52100018013(OC Recieved),P52100019797",Rama Group,Rama Fusion Towers (Phase I),Hinjawadi,Pune West,No,13/03/2019,Sold Out
116,P52100002639/P52100001377/P52100001260/P52100014778,Mantra properties,Mantra 24 West (Phase II),Gahunje,Pimpri Chinchwad,Yes,14/03/2019,Inactive
117,"P52100000406, P52100000182,P52100019434,P52100018308,P52100020156,P52100020142,P52100020188,P52100020172,P52100011522,P52100020190",Lodha Group,Lodha Belmondo,Gahunje,Pimpri Chinchwad,No,14/03/2019,Active
118,P52100000090,Jhamtani Group,Jhamtani Ace Aurum,Ravet,Pune West,No,14/03/2019,Sold Out
119,"P52100014875(OC received), P52100005032,P52100047722","Kolte Patil Developers	",Little Earth By KPDL,Mamurdi,Pimpri Chinchwad,No,15/03/2019,Active
120,P52100009446,Yashodhan Properties,Yashodhan Apple Blossom,Bavdhan,Pune West,No,15/03/2019,Sold Out
121,P52100000994,"Siddhesh Developers, Abinav Group, Rainbow Housing",Siddhesh Pebbles Urbania,Bavdhan,Pune West,No,18/03/2019,Sold Out
122,P52100000561,Benchmark Townplanning LLP/Kanakia,Benchmark Cyprus (Phase II),Punawale,Pune West,No,19/03/2019,Sold Out
123,"P52100002674, P52100016777(OC Recieved), P52100017100(OC Recieved) ,P52100023097(OC Recieved), P52100023345,P52100029378","Mantra properties, Gada Group, Majestique Landmarks",Mantra 29 Gold Coast,Dhanori,Pune East,Yes,27/03/2019,Active
124,"P52100001846, P52100001834, P52100001457, P52100016953","Mantra properties, Khalde Brothers",Mantra City 360,Talegaon Dabhade,Pimpri Chinchwad,Yes,19/03/2019,Inactive
125,"P52100002477 , P52100003070",Anshul Group,Anshul Eva,Bavdhan,Pune West,No,19/03/2019,Sold Out
126,P52100001750,Supreme Universal,Supreme Amadore,Baner,Pune West,No,19/03/2019,Sold Out
127,P52100011241,RK Lifespace Developers,RK Gracia,Bavdhan,Pune West,No,20/03/2019,Sold Out
128,P52100016114,Icon Group,Icon Sterling Towers,Baner,Pune West,No,19/03/2019,Sold Out
129,P52100008049,Yash Group,Yash Twin Tower,Baner,Pune West,No,20/03/2019,Sold Out
130,"P52100002540 ,P52100001814,P52100027175",Kunal Group,Kunal Aspiree(Phase II / III),Balewadi,Pune West,No,20/03/2019,Active
131,"P52100002665,P52100000979,P52100000572,P52100000537,P52100004340,P52100020092,P52100024044",Puranik Builders,Puranik Aldea,Mahalunge,Pune West,No,20/03/2019,Sold Out
132,"P52100016331, P52100006671 (OC Received)",Truspace,Truspace Prima Domus,Balewadi,Pune West,No,22/03/2019,Sold Out
133,P52100019974,Mantra Properties,Mantra 99 Riverfront,Baner,Pune West,Yes,22/03/2019,Sold Out
34,P52100005651(OC received),"GM Kenjale Group,  Kundan Spaces",GM Kenjale Emirus,Baner,Pune West,No,22/03/2019,Sold Out
135,P52100004357(OC received),"Goel Ganga Developments, Mohta Builders",Ganga Florentina (phase I),Mohammed Wadi,Pune South,No,26/03/2019,Sold Out
136,"P52100019986,P52100019994, P52100007943, P52100009529, P52100009531, P52100020081, P52100020112",VTP Realty,VTP Blue Waters,Mahalunge,Pune West,No,22/03/2019,Sold Out
137,P52100015953,Pride Realty,Galaxy Apartment,Bavdhan,Pune West,No,25/03/2019,Inactive
138,"P52100002148, P52100014390",Platinum Buildcon,Platinum Atlantis,Balewadi,Pune West,No,25/03/2019,Sold Out
139,P52100012434,G.M. Kenjale Group & Kundan Spaces,Kundan Freshia,Baner,Pune West,No,25/03/2019,Sold Out
140,P52100009029,Mont Vert Luxury Homes,Mont Vert Blue Bells Aura,Pashan,Pune West,Yes,26/03/2019,Sold Out
141,P52100001396,Goel Ganga Developments,Goel Ganga Acropolis,Baner,Pune West,Yes,26/03/2019,Active
142,P52100002756 (OC Received),Mont Vert Luxury Homes,Mont Vert Belair,Bavdhan,Pune West,No,26/03/2019,Sold Out
143,P52100002576 (OC Received),Aryavart Developers,Aryavart Star Altair,Bavdhan,Pune West,Yes,26/03/2019,Sold Out
144,P52100013526,Kolte Patil Developers,Kolte Patil Green Olive,Hinjawadi,Pune West,No,26/03/2019,Sold Out
145,"P52100018467, P52100003566 (OC Received)",Suyog Group,Suyog Padmavati Hills,Bavdhan,Pune West,Yes,27/03/2019,Sold Out
146,"P52100018473,P52100032303,P52100009722,P52100027791",Kolte Patil Developers,Kolte Patil 24K Stargaze,Bavdhan,Pune West,Yes,27/03/2019,Active
147,"P52100004530 ,P52100023380 (OC Received)",Sharada Alliance Promoters & Builders,Sharada Paritosh,Balewadi,Pune West,Yes,27/03/2019,Sold Out
148,P52100000727,VTP Realty,VTP Solitaire,Pashan,Pune West,Yes,27/03/2019,Sold Out
149,"P52100000285, P52100000339",Kohinoor Group,Kohinoor Abhimaan Homes,Shrigaon,Pimpri Chinchwad,No,28/03/2019,Sold Out
150,"P52100007129,P52100005080 (OC Received), P52100024374","Kolte Patil Developers , NOW Realty",Kolte Patil 24K Sereno,Baner,Pune West,No,28/03/2019,Active
151,P52100003836,Sharada Alliance Promoters & Builders,Akashparv,Bavdhan,Pune West,No,22/04/2019,Inactive
152,"P52100012998, P52100014662, P52100016286, P52100019226 , P52100021041",SKYi Developers,Skyi Star Town,Bhukum,Pune West,No,29/03/2019,Sold Out
153,"P52100004281, P52100012382 ",Siddhashila,Siddhashila Eela (Phase II),Punawale,Pune West,No,1/4/2019,Sold Out
154,"P52100019960 (OC Received), P52100020943 (OC Received) ,P52100027402",Shree Sonigara Realcon,Shree Signature Park,Thergaon,Pimpri Chinchwad,No,29/03/2019,Active
155,"P52100001152(OC Received),P52100023970,P52100050087","Bhandari Associates ,Namrata Group, ",Bhandari 7 Plumeria Drive,Tathawade,Pune West,No,1/4/2019,Active
156,P52100000563 (OC Received),Nandan Buildcon Pvt Ltd,Nandan Prospera Gold,Baner,Pune West,No,2/4/2019,Sold Out
157,"P52100002174 ,P52100004198, P52100001689",Sara Builders ,Sara Metroville,Punawale ,Pune West,No,1/4/2019,Sold Out
158,"P52100020396,P52100017218,P52100017839,P52100022202, P52100030765(OC Received)",Rahul Construction Company,Rahul Arcus,Baner,Pune West,No,12/6/2019,Active
159,P52100016985,"Sai Samarth Properties, Silveroak Group ",Sai Samarth Saisha,Punawale,Pune West,No,2/4/2019,Sold Out
160,P52100002193,"Wadhwani Constructions,  Shiv Construction ",Wadhwani Sai Paradise ,Punawale,Pune West,No,2/4/2019,Sold Out
161,P52100001542 (OC Received),Saibaba Sales Pvt. Ltd,Sai Raj Heights,Punawale,Pune West,No,3/4/2019,Sold Out
162,"P52100016149, P52100016163, P52100000213,P52100023388","Avior Enterprises, Merlin Group, Lenora",Avior Navyangan (Phase 2),Pirangut,Pune West,No,3/4/2019,Sold Out
163,"P52100004635,P52100004510", B. U. Bhandari Landmarks,B U Bhandari Vaastu Viva,Wakad,Pune West,No,3/4/2019,Active
164,"P52100000371((OC Received), P52100017914((OC Received),P52100023133,P52100029724",Naiknavare Developers,Naiknavare Avon Vista,Balewadi,Pune West,No,3/4/2019,Active
165,P52100002469 (OC Received),SL Group /Abhilasha Developers/Neel Group Builders & Developers/ Kher - Laghate Group,Abhilasha Favolosa,Balewadi,Pune West,No,3/4/2019,Sold Out
166,"P52100000939, P52100018658","Pride Purple Properties, Abhinav Group",Pride Purple Park Express,Baner,Pune West,No,3/4/2019,Sold Out
167,P52100001532,Uday Construction,Emerald Park,Punawale,Pune West,No,4/4/2019,Inactive
168,"P52100000449(OC Received), P52100000513, P52100000514 (OC Received),P52100019298,P52100025845,P52100026954, P52100030584",Skyi Developers,Skyi Manas Lake ,Bhukum,Pune West,Yes,4/4/2019,Active
169,P52100018032,                   Vision Creative Group,Vision Indrabhumi,Moshi,Pimpri Chinchwad,No,4/4/2019,Sold Out
170,P52100000730,Abhinav Rainbow Developers & Promoters LLP,Abhinav Rainbow Pebbles II,Bavdhan,Pune West,No,5/4/2019,Sold Out
171,P52100000181,Neuleaf Life Space       ,Neuleaf Codename Tech D (Grace Land),Bavdhan,Pune West,No,5/4/2019,Active
172,"P52100016413, P52100017433, P52100017456",VTP Realty / Rairah Corporation,VTP HiLife,Thergaon,Pimpri Chinchwad,No,8/4/2019,Sold Out
173,OC received,Almal Inspired Spaces,Almal Inspired The Terraces,Balewadi,Pune West,No,5/4/2019,Inactive
174,P52100015089,Svasti Corp LlP / Mahajan Buildpro Llp,Svasti Delta High (Phase I),Bavdhan,Pune West,No,8/4/2019,Sold Out
175,P52100008605(OC Received),"Vishal Properties, Bhojwani Homes",Vishal Skyscraper,Tathawade,Pune West,No,8/4/2019,Active
176,P52100019739,"Gagan Developers, Sigma Realty",Gagan Klara,Balewadi,Pune West,No,8/4/2019,Sold Out
177,P52100019065,Yashada Realty Group,Yashada Splendid Radiance,Hinjawadi,Pune West,No,9/4/2019,Sold Out
178,P52100004977,"Madhuban Group, Sai Shardha Associates, Sarda Constructions, Chandrarang Developer & Builders",Madhuban 7 Avenues,Balewadi,Pune West,No,8/4/2019,Sold Out
179,P52100014793 ,P4 Properties,P4 Revanta,Ravet,Pune West,No,9/4/2019,Active
180,P52100018824,Bharat Developers,Bharat The Province,Punawale,Pune West,No,9/4/2019,Sold Out
181,P52100001179,Nahar Group & Eiffel Developers & Realtors Ltd,F Residences,Balewadi,Pune West,No,9/4/2019,Sold Out
182,P52100014405,"Aditya Builder, Shagun Developers",Aditya Nisarg Tulips,Bavdhan,Pune West,No,9/4/2019,Sold Out
183,P52100018235,"Samarttha Buildcon, Neuleaf Lifespace",Samarttha Downtown,Mahalunge,Pune West,No,9/4/2019,Sold Out
184,P52100014585,Vilas Javdekar Developers,Vilas Javdekar YashOne,Pirangut,Pune West,No,9/4/2019,Sold Out
185,"P52100000306, P52100008951, P52100000094(OC Received)",Mantra Properties,Mantra Moments,Moshi,Pimpri Chinchwad,Yes,10/4/2019,Sold Out
186, P52100019905,Saffron Developer,Saffron Amber,Baner,Pune West,No,10/4/2019,Sold Out
187,P52100002770,"Capstone Landmarks, Garje Group, Chlorophyll Associates",Chlorophyll,Baner,Pune West,No,10/4/2019,Sold Out
188,P52100016627,CK Associates,CK Shanaya Elegance,Bhukum,Pune West,No,10/4/2019,Sold Out
189,P52100000387,"Pyramid Group , Prasad Lifespaces",Pyramid County,Bhukum,Pune West,No,10/4/2019,Sold Out
190,"P52100019678, P52100019664, P52100019997",Rohan Builders,"Rohan Ananta (Phase I,II& III)",Tathawade,Pune West,No,11/4/2019,Sold Out
191,P52100011426,Prestige Developers,Prestige Heights,Bavdhan,Pune West,No,11/4/2019,Sold Out
192,P52100001943,Abhinav Group,Abhinav The One,Bavdhan,Pune West,Yes,11/4/2019,Sold Out
193,P52100014425,Tirupati Land & Building Construction LLP,Tirupati Mount Vista,Talegaon Dabhade,Pimpri Chinchwad,No,11/4/2019,Active
194,P52100019327,Porwal Developers & Darshan Properties & Anand Properties,Porwal Parklane Urbanjoy ,Sus,Pune West,No,11/4/2019,Sold Out
195,P52100016626,Godrej Properties,Godrej Elements,Hinjawadi,Pune West,No,12/4/2019,Sold Out
196,P52100016546,RD Deshpandey Developers Pvt Ltd,EL Homes,Baner,Pune West,No,29/04/2019,Sold Out
197,"P52100000441, P52100000440",Pharande Spaces,Pharande Puneville ,Punawale,Pune West,No,12/4/2019,Sold Out
198,P52100014851,Shriram Developers,Shriram Kanhaiya Majesty,Baner,Pune West,No,12/4/2019,Sold Out
199,P52100019365,Sukhwani Lifespaces,Sukhwani Highlands,Sus,Pune West,Yes,12/4/2019,Sold Out
200,P52100007565,Sai Developers,Sai Aura Ville,Bavdhan,Pune West,No,12/4/2019,Sold Out
201,P52100007627,Padale Constructions Pvt Ltd,Padale Vivaan,Mahalunge,Pune West,No,12/4/2019,Sold Out
202,"P52100020135, P52100000155",Pethkar Projects,Pethkar Siyona,Punawale,Pune West,No,15/04/2019,Active
203,P52100003141 / P52100016201,Krisala Developers / Dhoot Builders,Krisala Adora,Ravet,Pune West,No,15/04/2019,Sold Out
204,"P52100003410, P52100003671",Prithvi Shelters,Prithvi Sai Velocity,Bavdhan,Pune West,Yes,15/04/2019,Sold Out
205,P52100005409,Deron Properties,Deron Bhushanam,Baner,Pune West,No,15/04/2019,Sold Out
206,P52100001005,Godrej Properties,Godrej 24,Hinjawadi,Pune West,No,15/04/2019,Sold Out
207,"P52100009509, P52100007631, P52100009507",Twin Star Infrastructure,Twin Star Vaastu Imperial,Ravet,Pune West,No,16/04/2019,Sold Out
208,P52100002460,"Kedar Vanjape Developers, Shree balaji Group ",Kedar Vanjape Whitefield ,Sus,Pune West,No,16/04/2019,Sold Out
209,P52100002314,S3 Properties / Sai Properties / Neeti Construction,S3 Prime,Sus,Pune West,No,16/04/2019,Sold Out
210,P52100003134 ( OC Received),The Bafana Group,The Bafana Aloha Towers,Baner,Pune West,No,16/04/2019,Sold Out
211,P52100007325,V T Adaskar & Co,V T Adaskar Shantai Green,Ravet,Pune West,No,16/04/2019,Sold Out
212,"P52100023773,P52100000252",Kumar Properties,Kumar Selena,Pashan,Pune West,No,16/04/2019,Sold Out
213,P52100017584,Windson Realty,Windson Golden Copac,Ravet,Pune West,No,16/04/2019,Sold Out
214,P52100019127,Swamee Developers,Swamee Lagom,Wakad,Pune West,No,18/04/2019,Sold Out
215,"P52100017052 , P52100011802",Karandikar Life Spaces,Karandikar Insignia (Phase III),Baner,Pune West,Yes,18/04/2019,Sold Out
216,P52100007260,Sheth And Popat Enterprise,Sheth Tiara,Wakad,Pune West,No,18/04/2019,Sold Out
